TimeStamp,turbine_power1,turbine_power10,ws
2020-11-27 06:30:00,357.3,424.36,4.83
2020-11-27 06:40:00,266.32,424.38,4.75
2020-11-27 06:50:00,81.1,304.75,4.42
2020-11-27 07:00:00,93.48,165.37,4.11
2020-11-27 07:10:00,54.01,68.51,3.8
2020-11-27 07:20:00,-8.28,61.29,3.62
2020-11-27 07:30:00,-16.82,24.1,3.49
2020-11-27 07:40:00,-15.68,-12.85,3.43
2020-11-27 07:50:00,-17.27,-13.35,2.32
2020-11-27 08:00:00,-16.72,-11.84,1.71
2020-11-27 08:10:00,-14.15,-15.24,1.71
2020-11-27 08:20:00,-15.15,-12.36,2.1
2020-11-27 08:30:00,-13.58,-11.01,1.95
2020-11-27 08:40:00,-12.6,-9.28,1.86
2020-11-27 08:50:00,-11.22,-9.38,1.4
2020-11-27 09:00:00,-11.17,-11.71,1.08
2020-11-27 09:10:00,-11.66,-15.42,1.29
2020-11-27 09:20:00,-12.47,-9.97,1.0
2020-11-27 09:30:00,-16.87,-9.86,0.82
2020-11-27 09:40:00,-11.27,-10.04,0.27
2020-11-27 09:50:00,-11.21,-14.63,0.41
2020-11-27 10:00:00,-11.39,-10.65,0.11
2020-11-27 10:10:00,-11.68,-11.01,0.31
2020-11-27 10:20:00,-11.96,-10.56,0.9
2020-11-27 10:30:00,-10.4,-9.39,0.42
2020-11-27 10:40:00,-10.85,-9.57,0.25
2020-11-27 10:50:00,-11.52,-11.53,0.5
2020-11-27 11:00:00,-11.36,-12.99,0.4
2020-11-27 11:10:00,-11.3,-11.64,0.35
2020-11-27 11:20:00,-13.24,-12.6,1.01
2020-11-27 11:30:00,-12.87,-9.96,1.87
2020-11-27 11:40:00,-15.89,-16.55,3.39
2020-11-27 11:50:00,-13.23,-12.6,3.15
2020-11-27 12:00:00,-14.67,-14.81,2.36
2020-11-27 12:10:00,-15.0,-13.42,2.26
2020-11-27 12:20:00,-13.12,-13.44,2.55
2020-11-27 12:30:00,-14.52,-13.67,2.26
2020-11-27 12:40:00,-13.92,-13.61,2.63
2020-11-27 12:50:00,-15.24,-15.54,2.66
2020-11-27 13:00:00,-16.46,-14.83,2.37
2020-11-27 13:10:00,-14.7,-14.0,1.16
2020-11-27 13:20:00,-13.69,-11.64,0.77
2020-11-27 13:30:00,-14.57,-15.71,1.48
2020-11-27 13:40:00,-13.0,-10.61,1.84
2020-11-27 13:50:00,-12.33,-12.83,1.95
2020-11-27 14:00:00,-10.28,-14.24,1.82
2020-11-27 14:10:00,-11.09,-12.48,1.38
2020-11-27 14:20:00,-15.39,-9.6,0.33
2020-11-27 14:30:00,-8.77,-10.64,0.13
2020-11-27 14:40:00,-11.17,-11.79,0.46
2020-11-27 14:50:00,-11.29,-11.1,0.63
2020-11-27 15:00:00,-10.87,-11.78,0.67
2020-11-27 15:10:00,-11.33,-11.8,0.73
2020-11-27 15:20:00,-11.44,-10.75,0.81
2020-11-27 15:30:00,-13.4,-11.11,1.01
